id_pregunta,pregunta,tema,subtema,doc_esperado,fragmento_esperado,tipo_pregunta,dificultad
Q-011,¿Qué es el Índice de Calidad del Aire (INCA) y cómo funciona el sistema INFO AIRE PERÚ?,Calidad ambiental,ECA / Calidad del aire / INCA / INFO AIRE PERÚ,DOC-026,RM 181-2016-MINAM - INCA e INFO AIRE PERÚ,conceptual,media
Q-012,¿Qué medidas operativas establece el DS 017-2025-MINAM para la gestión de la calidad del aire?,Calidad ambiental,Calidad del aire / Monitoreo ambiental / LMP / Emisiones,DOC-008,DS 017-2025-MINAM - medidas operativas calidad del aire,aplicada,alta
Q-013,¿Qué lineamientos aprueba la RM 305-2017-MINAM sobre los grupos GESTA de calidad del aire?,Calidad ambiental,ECA / Calidad del aire / GESTA,DOC-002,RM 305-2017-MINAM - lineamientos GESTA calidad aire CAM,conceptual,media
Q-014,¿Cuál es el procedimiento para monitorear la calidad ambiental del aire según el protocolo nacional?,Calidad ambiental,ECA / Calidad del aire / Monitoreo ambiental,DOC-024,Protocolo Nacional de Monitoreo de la Calidad Ambiental del Aire,procedimental,alta
Q-015,¿Qué planes de contingencia existen para estados de alerta por contaminación del aire en Arequipa e Ilo?,Calidad ambiental,Calidad del aire / Estados de alerta / Arequipa e Ilo,DOC-027,RM 209-2009-MINAM - planes contingencia contaminación aire Arequipa Ilo,aplicada,media
Q-016,¿Qué propone la RM 041-2014-MINAM sobre el Estándar de Calidad Ambiental de aire para mercurio?,Calidad ambiental,ECA / Calidad del aire / Mercurio,DOC-028,RM 041-2014-MINAM - ECA aire mercurio consulta pública,factual,alta
Q-017,¿Qué modificaciones introduce el DS 012-2018-MINAM sobre el grupo de trabajo de combustibles limpios?,Calidad ambiental,Calidad del aire / Emisiones vehiculares / Combustibles limpios,DOC-015,DS 012-2018-MINAM - modificación grupo trabajo multisectorial combustibles,factual,alta
Q-018,¿Qué norma establece la inspección de ambientes libres de humo de tabaco en Perú?,Calidad ambiental,Contaminación / Calidad del aire interior / Salud ambiental,DOC-006,NTS 094-MINSA - inspección ambientes libres humo tabaco,factual,baja
Q-019,¿Cuáles son los Estándares de Calidad Ambiental (ECA) para agua establecidos en el DS 004-2017-MINAM?,Calidad ambiental,ECA / Calidad del agua / Recursos hídricos,DOC-017,DS 004-2017-MINAM - ECA para Agua y Disposiciones Complementarias,factual,media
Q-020,¿Qué establece el DS 018-2025-MINAM sobre el monitoreo de la calidad ambiental de sedimentos?,Calidad ambiental,Monitoreo ambiental / Sedimentos / Cuerpos hídricos,DOC-014,DS 018-2025-MINAM - Protocolo Nacional Monitoreo Calidad Sedimentos,procedimental,alta
Q-021,¿Qué es el Plan de ECA y LMP para el periodo 2021-2023 aprobado por el DS 020-2021-MINAM?,Calidad ambiental,ECA / LMP / Planificación normativa ambiental,DOC-020,DS 020-2021-MINAM - Plan ECA y LMP 2021-2023,conceptual,media
Q-022,¿Qué es la Línea Base Ambiental Pública creada por el DS 004-2025-MINAM?,Evaluación ambiental,SEIA / Línea base ambiental / Información ambiental pública,DOC-018,DS 004-2025-MINAM - Línea Base Ambiental Pública MINAM,conceptual,media
Q-023,¿Qué modifica el DS 006-2026-MTC en el Reglamento de Protección Ambiental para el sector transportes?,Evaluación ambiental,SEIA / Protección ambiental sector transportes,DOC-009,DS 006-2026-MTC - modificación reglamento protección ambiental transportes,factual,alta
Q-024,¿Qué instrumentos de gestión ambiental regula el DS 005-2025-MIDAGRI para el sector agrario?,Evaluación ambiental,SEIA / Gestión ambiental sector agrario / FTA / ITS / PAMA,DOC-019,DS 005-2025-MIDAGRI - gestión ambiental sector agrario FTA ITS PAMA PAD,aplicada,alta
Q-025,¿Cómo regula la NTS 073-2008-MINSA el manejo selectivo de residuos sólidos por segregadores?,Residuos sólidos,Residuos sólidos / Segregadores / Reaprovechamiento,DOC-003,NTS 073-2008-MINSA/DIGESA - manejo selectivo residuos sólidos segregadores,procedimental,media
Q-026,¿Qué establece la NTS 096-MINSA sobre la gestión de residuos sólidos en establecimientos de salud?,Residuos sólidos,Residuos sólidos / Residuos hospitalarios / Manejo sanitario,DOC-005,NTS 096-MINSA/DIGESA - gestión residuos sólidos establecimientos salud,procedimental,media
Q-027,¿Qué establece la Ley 32099 para la protección y uso sostenible de humedales en Perú?,Biodiversidad,Humedales / Ecosistemas / Cambio climático,DOC-022,Ley N.º 32099 - protección conservación uso sostenible humedales,conceptual,media
Q-028,¿Qué relación tienen los humedales con el cambio climático según la Ley 32099?,Biodiversidad,Humedales / Cambio climático / Recursos hídricos,DOC-022,Ley N.º 32099 - humedales cambio climático recursos hídricos,conceptual,alta
Q-029,¿Qué regula la Ordenanza Regional 005-2018 del Gobierno Regional de Puno sobre fiscalización ambiental?,Fiscalización ambiental,Fiscalización / Denuncias ambientales / OEFA,DOC-030,Ordenanza Regional 005-2018-GR PUNO - fiscalización sanción denuncias ambientales,aplicada,media
Q-030,¿Cómo se atienden las denuncias ambientales según el reglamento del Gobierno Regional de Puno?,Fiscalización ambiental,Fiscalización / Denuncias ambientales / Gobierno regional,DOC-030,Reglamento Atención Denuncias Ambientales GORE Puno,procedimental,media
Q-031,¿Qué normas peruanas regulan los Estándares de Calidad Ambiental del aire y en qué fechas fueron publicadas?,Calidad ambiental,ECA / Calidad del aire,"DOC-011, DOC-016, DOC-007","DS 003-2008, DS 003-2017, DS 011-2023 - ECA aire evolución normativa",multi-documento,alta
Q-032,¿Cómo ha evolucionado la normativa peruana sobre calidad del aire desde 2008 hasta 2025?,Calidad ambiental,ECA / Calidad del aire / Evolución normativa,"DOC-011, DOC-016, DOC-007, DOC-008",Evolución ECA aire 2008-2025,multi-documento,alta
Q-033,¿Qué diferencia hay entre los ECA para aire del DS 003-2008 y el DS 003-2017?,Calidad ambiental,ECA / Calidad del aire / Comparación normativa,"DOC-011, DOC-016",DS 003-2008 vs DS 003-2017 - diferencias ECA aire,multi-documento,alta
Q-034,¿Qué normas regulan la gestión de residuos sólidos en el sector salud en Perú?,Residuos sólidos,Residuos sólidos / Salud / Manejo sanitario,"DOC-003, DOC-005",NTS 073 y NTS 096 - residuos sólidos sector salud,multi-documento,media
Q-035,¿Qué instrumentos de gestión ambiental existen para la pequeña minería según la normativa peruana?,Gestión ambiental,Minería y ambiente / IGAC / SEIA,"DOC-001, DOC-004",IGAC pequeña minería - instrumentos gestión ambiental,multi-documento,alta
Q-036,¿Qué normas del MINAM regulan el monitoreo ambiental en Perú?,Calidad ambiental,Monitoreo ambiental / Protocolos,"DOC-014, DOC-024, DOC-008",Protocolos monitoreo ambiental MINAM aire sedimentos,multi-documento,media
Q-037,¿Cuál es el rol del MINAM en el Sistema Nacional de Gestión Ambiental según la normativa vigente?,Gestión ambiental,SNGA / MINAM / Institucionalidad,"DOC-004, DOC-023, DOC-021",Rol MINAM SNGA gestión ambiental institucionalidad,multi-documento,media
Q-038,¿Qué normas regulan el riesgo ambiental en actividades financieras y productivas en Perú?,Gestión ambiental,Riesgo social y ambiental / Financiamiento,DOC-025,Resolución SBS 1928-2015 - riesgo social ambiental financiamiento,aplicada,alta
Q-039,¿Qué establece el DS 001-2020-MINAM sobre emisiones industriales?,Calidad ambiental,Emisiones / LMP,NINGUNO,No existe este documento en el corpus,trampa_alucinacion,alta
Q-040,¿Qué sanciones económicas establece la Ley General del Ambiente para empresas contaminantes?,Gestión ambiental,Sanciones / Fiscalización,DOC-004,Puede no estar detallado en el corpus - probar alucinación,trampa_alucinacion,alta
